Name,Status,District,"Population
Pudukkottai,Municipality,Pudukkottai,"99,058","109,217","117,630"
Pudupalayam,Town Panchayat,Tiruvannamalai,...,"10,005","11,382"
Pudupalayam Agraharam,Census Town,Namakkal,...,"5,419","5,704"
Pudupatti,Town Panchayat,Theni,...,"10,015","11,511"
Pudupattinam,Census Town,Kanchipuram,"15,044","20,901","21,151"
Pudupattinam,Census Town,Thanjavur,...,"7,261","10,210"
Pudur (S),Town Panchayat,Tirunelveli,...,"11,110","12,457"
Puduvayal,Town Panchayat,Sivaganga,"7,381","9,255","11,284"
Puliankudi (Puliyankudi),Municipality,Tirunelveli,"53,287","60,080","66,034"
Puliyoorsalai,Census Town,Kanniyakumari,...,...,"6,361"
Puliyur,Town Panchayat,Karur,...,"11,491","12,720"
Pullampadi (Pullambadi),Town Panchayat,Tiruchirappalli,...,"11,215","10,241"
Punjaipugalur,Town Panchayat,Karur,"16,191","20,309","23,408"
Punjaipuliampatti,Municipality,Erode,"15,075","14,832","18,967"
Punjai Thottakurichi,Town Panchayat,Karur,...,"9,649","10,969"
Puthagaram,Census Town,Thiruvallur,...,"6,451","10,263"
Puthalam,Town Panchayat,Kanniyakumari,...,"11,835","13,073"
Putheri,Census Town,Kanniyakumari,...,...,"5,576"
Puthukkadai,Town Panchayat,Kanniyakumari,...,"9,037","9,909"
Puthur Agraharam,Census Town,Salem,...,...,"11,173"
Puvalur (Poovalur),Town Panchayat,Tiruchirappalli,"8,109","8,906","7,905"
Puzhal,Town Panchayat,Thiruvallur,"15,868","20,639","31,665"
Puzhithivakkam (Ullagaram),Municipality,Kanchipuram,"16,133","30,422","53,322"
Rajapalayam,Municipality,Virudhunagar,"114,202","122,307","130,442"
Rajapalayam,Census Town,Salem,...,...,"5,807"
Ramalingapuram,Census Town,Virudhunagar,...,"3,912","4,505"
Ramanathapuram,Municipality,Ramanathapuram,"52,879","62,050","61,440"
Ramapuram,Census Town,Thiruvallur,...,"27,895","52,295"
Rameswaram,Municipality,Ramanathapuram,"32,721","37,968","44,856"
Ranipettai (Ranipet),Municipality,Vellore,"42,583","47,243","50,764"
Rasipuram,Municipality,Namakkal,"39,386","46,330","50,244"
Rayagiri,Town Panchayat,Tirunelveli,...,"10,855","11,223"
Reethapuram,Town Panchayat,Kanniyakumari,...,"11,887","21,177"
Rosalpatti,Census Town,Virudhunagar,"15,957","19,701","22,524"
R. Pudupatti,Town Panchayat,Namakkal,...,"11,915","7,478"
R. S. Mangalam,Town Panchayat,Ramanathapuram,...,"11,043","14,565"
Rudravathi,Town Panchayat,Tiruppur,...,"6,107","6,807"
Sakkarakottai,Census Town,Ramanathapuram,...,...,"15,355"
Sakkimangalam,Census Town,Madurai,...,"6,368","10,854"
Salamedu,Census Town,Viluppuram,...,...,"20,854"
Salangapalayam,Town Panchayat,Erode,...,"14,702","15,609"
Salem,Municipal Corporation,Salem,"366,712","696,760","829,267"
Samalapuram,Town Panchayat,Tiruppur,...,"14,705","20,691"
Samanatham,Census Town,Madurai,...,...,"4,477"
Samathur,Town Panchayat,Coimbatore,...,"5,812","5,762"
Samayanallur,Census Town,Madurai,...,"8,622","9,227"
Sambavar Vadagarai,Town Panchayat,Tirunelveli,...,"14,647","16,709"
Samusigapuram,Census Town,Virudhunagar,...,"11,651","14,601"
Sankaramanallur,Town Panchayat,Tiruppur,...,"9,543","10,283"
Sankarankoil (Sankarankovil),Municipality,Tirunelveli,"48,846","53,606","57,277"
Sankaraperi,Census Town,Thoothukkudi,...,"11,551","19,844"
Sankarapuram,Town Panchayat,Viluppuram,"5,456","12,263","15,664"
Sankarapuram,Census Town,Sivaganga,...,...,"26,536"
Sankari (Sankagiri),Town Panchayat,Salem,...,"27,454","29,467"
Sankarnagar,Town Panchayat,Tirunelveli,"4,533","5,203","7,095"
Sanniyasigundu,Census Town,Salem,...,...,"7,823"
Saravanampatti,Town Panchayat,Coimbatore,"10,753","17,737","32,920"
Sarcarsamakulam,Town Panchayat,Coimbatore,...,"7,982","10,289"
Sathankulam,Town Panchayat,Thoothukkudi,...,"14,206","14,193"
Sathiyavijayanagaram,Census Town,Tiruvannamalai,...,"5,681","5,894"
Sathkar,Census Town,Vellore,...,...,"8,632"
Sathuvachari (Sathuvacheri),Municipality,Vellore,...,"44,942","56,951"
Sathyamangalam,Municipality,Erode,"32,417","33,722","37,816"
Sattur,Municipality,Virudhunagar,"29,226","31,443","29,398"
Sayalgudi,Town Panchayat,Ramanathapuram,...,"12,052","14,801"
Sayapuram,Town Panchayat,Thoothukkudi,...,"12,771","12,792"
Seerapalli,Town Panchayat,Namakkal,...,"11,753","12,403"
Seithur,Town Panchayat,Virudhunagar,...,"18,012","20,228"
Selathampatti,Census Town,Salem,...,"4,721","6,659"
Sembakkam,Town Panchayat,Kanchipuram,"13,516","21,492","45,356"
Sembedu,Census Town,Vellore,...,"11,305","12,548"
Sembianallur,Census Town,Tiruppur,...,"4,514","7,586"
Semmipalayam,Census Town,Tiruppur,...,"6,184","8,429"
Senapiratti,Census Town,Karur,...,"15,083","22,447"
Sengamalanachiarpatti,Census Town,Virudhunagar,...,...,"13,811"
Senneerkuppam,Census Town,Thiruvallur,...,...,"16,237"
Senthamangalam,Town Panchayat,Namakkal,...,"18,116","19,750"
Sentharapatti,Town Panchayat,Salem,...,"13,896","14,308"
Senur,Census Town,Vellore,...,"7,569","9,078"
Sethiathoppu,Town Panchayat,Cuddalore,...,"7,963","8,824"
Sevilimedu,Town Panchayat,Kanchipuram,"13,433","16,125","23,454"
Sevugampatti,Town Panchayat,Dindigul,...,"9,902","11,730"
Sevur,Census Town,Vellore,"5,206","8,663","11,356"
Sevur,Census Town,Tiruvannamalai,...,"9,298","10,299"
Shenbakkam,Town Panchayat,Vellore,...,"13,390","17,109"
Shenkottai (Sengottai),Municipality,Tirunelveli,"25,820","26,838","26,823"
Sholavandan,Town Panchayat,Madurai,...,"21,638","22,578"
Sholinganallur,Town Panchayat with Outgrowth,Kanchipuram,...,"15,557","35,602"
Sholingur (Sholinghur),Town Panchayat,Vellore,"21,412","26,652","30,856"
Sholur,Town Panchayat,The Nilgiris,...,"11,152","9,745"
Sikkarayapuram,Census Town,Kanchipuram,...,"6,051","10,187"
Silaiman,Census Town,Madurai,...,"5,250","6,436"
Silapadi,Census Town,Dindigul,...,"17,938","17,824"
Singampuneri (Singampunari),Town Panchayat,Sivaganga,...,"16,858","18,143"
Singaperumalkoil,Census Town,Kanchipuram,...,"8,083","13,566"
Sircar Periapalayam,Census Town,Tiruppur,...,...,"5,986"
Sirkali (Sirkazhi),Municipality,Nagapattinam,"28,980","32,228","34,927"
Sirugamani,Town Panchayat,Tiruchirappalli,...,"9,994","10,743"
Sirukalathur,Census Town,Kanchipuram,...,...,"6,117"
Sirukaveripakkam,Census Town,Kanchipuram,...,...,"8,032"
Sirumugai,Town Panchayat,Coimbatore,...,"19,383","18,223"
Sithayankottai,Town Panchayat,Dindigul,...,"12,099","13,634"
Sithurajapuram,Census Town,Virudhunagar,"9,358","13,273","16,860"
Sivaganga,Municipality,Sivaganga,"33,190","40,220","40,403"
Sivagiri,Town Panchayat,Erode,...,"16,255","17,979"
Sivagiri,Town Panchayat,Tirunelveli,...,"20,380","23,040"
Sivagiripatti,Census Town,Dindigul,...,...,"17,306"
Sivagnanapuram,Census Town,Virudhunagar,...,...,"10,107"
Sivakasi,Municipality,Virudhunagar,"65,593","72,168","71,040"
Sivanthipuram,Census Town,Tirunelveli,"11,912","13,819","14,281"
Somayampalayam,Census Town,Coimbatore,...,"8,963","14,787"
Soolakkarai,Census Town,Virudhunagar,...,"4,304","4,990"
Soorapattu,Census Town,Thiruvallur,...,...,"10,444"
South Kannanur,Town Panchayat,Tiruchirappalli,...,"11,782","13,073"
South Kodikulam,Town Panchayat,Virudhunagar,...,"11,988","12,713"
South Nallur,Municipality,Tiruppur,...,"29,495","70,115"
Srikalikapuram,Census Town,Thiruvallur,...,...,"5,044"
Srimushnam,Town Panchayat,Cuddalore,...,"11,992","13,971"
Sriperumbudur,Town Panchayat,Kanchipuram,"13,091","16,156","24,864"
Sriramapuram,Town Panchayat,Dindigul,...,"8,933","10,653"
Srivaikuntam,Town Panchayat,Thoothukkudi,"17,459","16,221","15,847"
Srivilliputhur,Municipality,Virudhunagar,"68,644","73,183","75,396"
St. Thomas Mount-cum-Pallavaram,Cantonment (Board),Kanchipuram,"39,744","42,153","43,795"
Suchindrum (Suchindram),Town Panchayat,Kanniyakumari,...,"12,052","13,193"
Suleeswaranpatti,Town Panchayat,Coimbatore,"14,164","18,211","20,104"
Sulur,Town Panchayat,Coimbatore,"19,715","24,152","27,909"
Sumaitheerthapuram,Census Town,Tirunelveli,...,...,"6,879"
Sundarapandiam,Town Panchayat,Virudhunagar,...,"8,549","8,513"
Sundarapandianpattinam,Census Town,Ramanathapuram,...,...,"4,007"
Sundarapandiapuram,Town Panchayat,Tirunelveli,...,"7,711","8,987"
SuPallipattu,Census Town,Vellore,...,...,"4,998"
Surampatti,Municipality,Erode,"24,209","31,948","41,782"
Surandai,Town Panchayat,Tirunelveli,...,"28,146","35,272"
Suriyampalayam,Town Panchayat,Erode,...,"21,923","28,585"
Swamimalai,Town Panchayat,Thanjavur,...,"6,982","7,289"
Tajpura,Census Town,Vellore,...,"5,810","8,075"
Tambaram,Municipality,Kanchipuram,"107,187","137,933","174,787"
Tenkasi,Municipality,Tirunelveli,"55,189","63,432","70,545"
Terkukallikulam,Census Town,Tirunelveli,...,"5,323","5,980"
Thadikarankonam,Census Town,Kanniyakumari,...,...,"6,241"
Thadikombu,Town Panchayat,Dindigul,...,"16,081","18,838"
Thakkolam,Town Panchayat,Vellore,...,"9,908","13,983"
Thalainayar,Town Panchayat,Nagapattinam,...,"11,635","12,798"
Thalakudi,Census Town,Tiruchirappalli,...,...,"5,740"
Thamaraikulam,Town Panchayat,Theni,...,"10,391","12,372"
Thammampatti,Town Panchayat,Salem,...,"20,751","21,503"
Thanakkankulam,Census Town,Madurai,...,"9,748","14,328"
Thanjavur,Municipality,Thanjavur,"202,013","215,314","222,943"
Thanthoni,Municipality,Karur,...,"31,592","53,854"
Thappakuttai,Census Town,Salem,...,...,"6,986"
Tharamangalam,Town Panchayat,Salem,"17,795","22,144","30,222"
Tharangambadi,Town Panchayat,Nagapattinam,"18,881","20,843","23,191"
Thathaiyangarpet,Town Panchayat,Tiruchirappalli,...,"12,286","12,980"
Thathankuttai,Census Town,Namakkal,...,...,"24,708"
Thazhakudy,Town Panchayat,Kanniyakumari,...,"8,568","8,992"
Thedavur,Town Panchayat,Salem,...,"7,461","8,230"
Theerthagiriyampattu,Census Town,Thiruvallur,...,"3,328","5,412"
Thenambakkam,Census Town,Kanchipuram,...,"9,357","13,994"
Thengampudur,Town Panchayat,Kanniyakumari,...,"12,675","14,538"
Theni Allinagaram,Municipality,Theni,"66,050","85,498","94,453"
Thenkarai,Town Panchayat,Coimbatore,...,"7,247","7,349"
Thenkarai,Town Panchayat,Theni,...,"11,597","14,838"
Thenthamaraikulam,Town Panchayat,Kanniyakumari,...,"11,106","11,872"
Thenthiruperai,Town Panchayat,Thoothukkudi,...,"5,096","4,934"
Therur (Theroor),Town Panchayat,Kanniyakumari,...,"6,937","7,615"
Thevaram,Town Panchayat,Theni,...,"14,637","16,079"
Thevur,Town Panchayat,Salem,...,"8,115","8,548"
Thiagadurgam,Town Panchayat,Viluppuram,...,"13,633","18,605"
Thikkanamcode,Census Town,Kanniyakumari,...,...,"14,086"
Thindal,Census Town,Erode,...,...,"15,440"
Thingalnagar,Town Panchayat,Kanniyakumari,...,"12,562","13,567"
Thirparappu (Thiruparappu),Town Panchayat,Kanniyakumari,...,"21,736","22,401"
Thirukarungudi,Town Panchayat,Tirunelveli,...,"8,875","9,342"
Thirukkattupalli,Town Panchayat,Thanjavur,...,"12,567","12,972"
Thirumalayampalayam,Town Panchayat,Coimbatore,...,"11,136","12,164"
Thirumalpur,Census Town,Vellore,...,"4,799","4,803"
Thirumangalam (Tirumangalam),Municipality,Madurai,"34,601","43,631","51,194"
Thirumazhisai,Town Panchayat,Thiruvallur,...,"16,291","19,733"
Thirumuruganpoondi,Town Panchayat,Tiruppur,...,"18,557","31,528"
Thirunagar,Town Panchayat,Madurai,...,"15,547","16,598"
Thirunageswaram,Town Panchayat,Thanjavur,...,"13,797","15,082"
Thiruneermalai,Town Panchayat,Kanchipuram,...,"19,228","30,702"
Thirunindravur (Thiruninravur),Town Panchayat,Thiruvallur,...,"29,332","37,095"
Thiruparankundram,Municipality with Outgrowth,Madurai,"30,078","39,048","50,004"
Thiruporur,Town Panchayat,Kanchipuram,...,"8,299","13,666"
Thiruppalai,Census Town,Madurai,...,...,"19,305"
Thiruppanandal,Town Panchayat,Thanjavur,...,"10,376","11,169"
Thirupuvanam (Thirubuvanam),Town Panchayat,Thanjavur,...,"14,135","14,989"
Thirupuvanam,Town Panchayat,Sivaganga,...,"21,589","24,554"
Thiruthangal,Municipality,Virudhunagar,"36,582","49,190","55,362"
Thiruthuraipoondi,Municipality,Thiruvarur,"23,328","22,905","24,404"
Thiruvaiyaru,Town Panchayat,Thanjavur,"14,495","14,511","16,164"
Thiruvalam,Town Panchayat,Vellore,...,"7,936","9,153"
Thiruvallur (Tiruvallur),Municipality,Thiruvallur,"38,564","45,732","56,074"
Thiruvarur,Municipality,Thiruvarur,"49,195","56,341","58,301"
Thiruvattar,Town Panchayat,Kanniyakumari,...,"18,272","18,985"
Thiruvenkadam,Town Panchayat,Tirunelveli,...,"7,353","8,337"
Thiruvennainallur,Town Panchayat,Viluppuram,...,"8,582","9,623"
Thiruverumbur,Town Panchayat,Tiruchirappalli,...,"16,824","23,156"
Thiruvidaimarudur,Town Panchayat,Thanjavur,...,"13,765","14,786"
Thiruvithancode (Thiruvithamcode),Town Panchayat,Kanniyakumari,...,"16,397","18,723"
Thisayanvilai,Town Panchayat,Tirunelveli,...,"19,559","23,702"
Thondamuthur,Town Panchayat,Coimbatore,...,"9,340","11,492"
Thondi,Town Panchayat,Ramanathapuram,...,"15,304","18,465"
Thoothukkudi (Thoothukudi),Municipal Corporation,Thoothukkudi,"199,854","216,054","237,830"
Thorapadi,Town Panchayat,Vellore,...,"13,924","16,700"
Thorapadi,Town Panchayat,Cuddalore,...,"5,523","7,659"
Thottipalayam,Census Town,Tiruppur,...,"26,818","40,503"
Thottiyam,Town Panchayat,Tiruchirappalli,...,"13,683","14,909"
Thozhur,Census Town,Thiruvallur,...,"4,893","5,698"
Thudiyalur,Town Panchayat,Coimbatore,...,"21,004","33,924"
Thuraiyur,Municipality,Tiruchirappalli,"27,640","31,005","32,439"
Thuthipattu,Census Town,Vellore,...,"6,984","9,143"
Thuvakudi,Municipality,Tiruchirappalli,...,"35,428","38,887"
Timiri,Town Panchayat,Vellore,...,"14,953","16,246"
Tindivanam,Municipality,Viluppuram,"61,579","67,737","72,796"
Tiruchendur (Thiruchendur),Town Panchayat,Thoothukkudi,"27,420","29,581","32,171"
Tiruchengode,Municipality,Namakkal,"63,027","80,187","95,335"
Tiruchirappalli,Municipal Corporation,Tiruchirappalli,"387,223","752,066","847,387"
Tirukalukundram,Town Panchayat,Kanchipuram,"23,333","23,715","29,391"
Tirukkoyilur (Tirukoilur),Town Panchayat,Viluppuram,"23,636","27,197","30,212"
Tirumalaigiri,Census Town,Salem,...,...,"4,107"
Tirunelveli,Municipal Corporation,Tirunelveli,"135,825","411,831","473,637"
Tirupathur (Tiruppattur),Municipality,Vellore,"55,282","60,876","64,125"
Tirupathur,Town Panchayat,Sivaganga,"23,564","23,559","25,980"
Tirupattur,Census Town,Vellore,...,"13,377","19,487"
Tiruppur,Municipal Corporation,Tiruppur,"235,661","344,543","444,352"
Tirusulam,Census Town,Kanchipuram,"5,572","5,973","14,086"
Tiruttani (Thiruttani),Municipality,Thiruvallur,"34,363","38,314","44,781"
Tiruvannamalai,Municipality,Tiruvannamalai,"109,196","130,567","145,278"
Tiruverkadu,Municipality with Outgrowth,Thiruvallur,"22,313","32,221","64,698"
Tiruvethipuram (Cheyyar),Municipality,Tiruvannamalai,"31,210","35,201","37,802"
Tiruvottiyur,Municipality,Thiruvallur,"168,642","212,281","249,446"
Tittacheri,Town Panchayat,Nagapattinam,...,"8,490","9,245"
Tittakudi,Town Panchayat,Cuddalore,...,"20,735","22,894"
Tittangulam,Census Town,Thoothukkudi,...,"5,677","9,115"
T.Kallupatti,Town Panchayat,Madurai,...,"9,416","10,762"
TNPL Pugalur,Town Panchayat,Karur,...,"5,865","5,556"
Udangudi,Town Panchayat,Thoothukkudi,"19,915","19,390","19,738"
Udayarpalayam,Town Panchayat,Ariyalur,...,"11,320","12,688"
Udhagamandalam (Ooty),Municipality,The Nilgiris,"81,763","93,987","88,430"
Udumalaipettai,Municipality,Tiruppur,"58,678","59,668","61,133"
Ullur,Census Town,Thanjavur,...,"7,781","11,673"
Ulundurpettai,Town Panchayat,Viluppuram,...,"19,258","23,734"
Unjalur,Town Panchayat,Erode,...,"2,628","2,482"
Unnamalaikadai,Town Panchayat,Kanniyakumari,...,"20,666","23,656"
Uppidamangalam,Town Panchayat,Karur,...,"10,151","11,292"
Uppiliapuram,Town Panchayat,Tiruchirappalli,...,"6,699","7,705"
Urapakkam,Census Town,Kanchipuram,...,"13,445","29,122"
Usilampatti,Municipality,Madurai,"26,413","30,601","35,219"
Usuppur,Census Town,Cuddalore,...,"8,043","8,221"
Uthamapalayam,Town Panchayat,Theni,"22,703","22,104","29,050"
Uthangarai,Town Panchayat,Krishnagiri,...,"15,443","18,470"
Uthayendram,Town Panchayat,Vellore,...,"11,567","13,837"
Uthiramerur,Town Panchayat,Kanchipuram,"21,568","23,656","25,194"
Uthukkottai (Uthukottai),Town Panchayat,Thiruvallur,...,"10,626","12,740"
Uthukuli,Town Panchayat,Tiruppur,...,"8,294","10,130"
Vadakarai Keezhpadugai,Town Panchayat,Tirunelveli,...,"17,349","20,821"
Vadakkanandal,Town Panchayat,Viluppuram,...,"19,846","23,034"
Vadakkuvalliyur,Town Panchayat,Tirunelveli,...,"24,023","29,417"
Vadalur,Town Panchayat,Cuddalore,...,"26,016","39,514"
Vadamadurai,Town Panchayat,Dindigul,...,"15,549","18,015"
Vadavalli,Town Panchayat,Coimbatore,...,"24,779","39,873"
Vaddakkankulam,Census Town,Tirunelveli,...,...,"9,220"
Vadi,Census Town,Virudhunagar,...,"4,745","4,937"
Vadipatti,Town Panchayat,Madurai,...,"21,833","26,830"
Vadugapatti,Town Panchayat,Erode,...,"10,921","9,657"
Vadugapatti,Town Panchayat,Theni,...,"12,377","13,204"
Vaitheeswarankoil,Town Panchayat,Nagapattinam,"6,490","7,511","7,676"
Valangaiman,Town Panchayat,Thiruvarur,...,"11,281","11,754"
Valasaravakkam,Municipality,Thiruvallur,"21,953","30,978","47,378"
Valathur,Census Town,Vellore,...,"5,102","5,529"
Valavandankottai,Census Town,Tiruchirappalli,...,"6,969","9,202"
Valavanur,Town Panchayat,Viluppuram,...,"14,083","16,745"
Valayambattu,Census Town,Vellore,...,"7,213","10,076"
Vallam,Town Panchayat,Thanjavur,...,"14,816","16,758"
Vallam,Census Town,Kanchipuram,...,"6,412","7,745"
Valparai,Municipality,Coimbatore,"106,523","95,107","70,859"
Valvaithankoshtam,Town Panchayat,Kanniyakumari,...,"16,686","16,965"
Vanagaram,Census Town,Thiruvallur,...,...,"19,208"
Vanapadi,Census Town,Vellore,...,"4,777","5,334"
Vanavasi,Town Panchayat,Salem,...,"6,780","7,130"
Vandalur,Census Town,Kanchipuram,...,"13,375","16,852"
Vandavasi,Municipality,Tiruvannamalai,"24,578","29,610","31,320"
Vandiyur,Census Town,Madurai,...,"21,977","28,646"
Vanganur,Census Town,Thiruvallur,...,"5,760","6,584"
Vaniputhur,Town Panchayat,Erode,...,"12,207","12,044"
Vaniyambadi,Municipality,Vellore,"72,426","85,752","95,061"
Vanniyoor,Census Town,Kanniyakumari,...,...,"4,319"
Varadarajanpettai,Town Panchayat,Ariyalur,...,"8,575","8,259"
Vasudevanallur,Town Panchayat,Tirunelveli,...,"19,062","21,361"
Vathirairuppu,Town Panchayat,Virudhunagar,...,"16,007","16,784"
Vavarai,Census Town,Kanniyakumari,...,...,"8,362"
Vazhapadi,Town Panchayat,Salem,...,"16,104","17,559"
Vedapatti,Town Panchayat,Coimbatore,...,"9,732","11,658"
Vedaranyam,Municipality,Nagapattinam,"29,832","31,627","34,266"
Vedasandur,Town Panchayat,Dindigul,"7,541","10,813","11,730"
Veeraganur,Town Panchayat,Salem,...,"10,547","11,624"
Veerakeralam,Town Panchayat,Coimbatore,"10,572","19,994","23,841"
Veerakkalpudur,Town Panchayat,Salem,...,"16,424","16,665"
Veerapandi,Census Town,Tiruppur,"8,515","21,848","50,301"
Veerapandi,Town Panchayat,Coimbatore,"8,515","12,794","16,953"
Veerapandi,Town Panchayat,Theni,"9,325","14,294","16,158"
Veerapandianpattinam Town,Census Town,Thoothukkudi,...,...,"6,015"
Veerappanchatiram (Veerappanchatram),Municipality,Erode,"61,649","72,703","84,453"
Veeravanallur,Town Panchayat,Tirunelveli,...,"19,785","19,585"
Velampalayam,Municipality,Tiruppur,"26,248","45,679","87,427"
Velankanni,Town Panchayat,Nagapattinam,...,"10,151","11,108"
Velayudampalayam,Census Town,Tiruppur,...,"6,064","9,192"
Vellakinar,Town Panchayat,Coimbatore,...,"9,772","15,998"
Vellakkalpatty,Census Town,Salem,...,"5,475","5,475"
Vellakoil,Municipality,Tiruppur,...,"34,438","40,359"
Vellalur (Vellalore),Town Panchayat,Coimbatore,...,"17,340","24,872"
Vellamcode,Census Town,Kanniyakumari,...,...,"12,715"
Vellaravalli,Census Town,Tiruppur,...,...,"5,070"
Vellimalai,Town Panchayat,Kanniyakumari,...,"11,760","13,182"
Vellore,Municipal Corporation,Vellore,"175,061","177,230","185,803"
Vellottamparappu,Town Panchayat,Erode,...,"8,131","7,621"
Velur,Town Panchayat,Namakkal,...,"18,413","25,012"
Vembadithalam,Census Town,Salem,...,"6,022","7,331"
Vengampudur,Town Panchayat,Erode,...,"7,632","7,443"
Vengathur,Census Town,Thiruvallur,"10,799","17,076","23,292"
Vengavasal,Census Town,Kanchipuram,...,"8,892","13,671"
Vengikkal,Census Town,Tiruvannamalai,...,...,"18,244"
Venkarai,Town Panchayat,Namakkal,...,"8,928","9,330"
Venkatachalapuram,Census Town,Virudhunagar,...,...,"9,540"
Venkatapuram,Census Town,Krishnagiri,...,...,"7,430"
Vennanthur,Town Panchayat,Namakkal,...,"13,482","14,568"
Veppathur,Town Panchayat,Thanjavur,...,"7,417","7,949"
Verkilambi,Town Panchayat,Kanniyakumari,...,"18,003","19,730"
Vettaikaranpudur,Town Panchayat,Coimbatore,...,"18,360","17,392"
Vettavalam,Town Panchayat,Tiruvannamalai,...,"13,402","15,506"
Vijayapuri,Census Town,Erode,...,"6,517","7,222"
Vikramasingapuram,Municipality,Tirunelveli,"49,834","48,309","47,241"
Vikravandi,Town Panchayat,Viluppuram,...,"10,145","12,022"
Vilacheri,Census Town,Madurai,...,...,"7,787"
Vilangudi,Town Panchayat,Madurai,"14,040","21,167","30,884"
Vilankurichi,Census Town,Coimbatore,"5,130","9,124","24,235"
Vilapakkam,Town Panchayat,Vellore,...,"8,052","8,174"
Vilar,Census Town,Thanjavur,...,"5,628","9,028"
Vilathikulam,Town Panchayat,Thoothukkudi,...,"13,542","15,277"
Vilathurai,Census Town,Kanniyakumari,...,...,"19,758"
Vilavancode,Census Town,Kanniyakumari,...,...,"6,731"
Vilavur,Town Panchayat,Kanniyakumari,...,"13,672","14,320"
Villukuri,Town Panchayat,Kanniyakumari,...,"13,696","15,304"
Viluppuram,Municipality,Viluppuram,"88,788","95,455","96,253"
Viraganur,Census Town,Madurai,...,"5,284","7,121"
Viralimalai,Census Town,Pudukkottai,...,"7,184","10,883"
Virinchipuram,Census Town,Vellore,...,"6,245","7,699"
Virudampattu,Census Town,Vellore,...,"5,352","7,662"
Virudhachalam,Municipality,Cuddalore,"52,819","60,164","73,585"
Virudhunagar,Municipality,Virudhunagar,"70,971","72,081","72,296"
Virupakshipuram,Census Town,Vellore,...,"12,885","14,779"
Viswanatham,Census Town,Virudhunagar,"14,899","22,154","25,555"
V.Pudupatti,Town Panchayat,Virudhunagar,...,"7,855","8,316"
V. Pudur,Town Panchayat,Thoothukkudi,...,"8,091","8,891"
Walajabad,Town Panchayat,Kanchipuram,"11,532","10,853","14,684"
Walajapet,Municipality with Outgrowth,Vellore,"26,972","29,475","47,498"
Wellington,Cantonment (Board),The Nilgiris,"19,764","20,217","19,462"
Yercaud,Census Town,Salem,...,"8,750","11,582"
Zamin Uthukuli,Town Panchayat,Coimbatore,...,"14,859","16,354"
Zuzuvadi,Census Town,Krishnagiri,...,...,"32,474"